division,formula,paper,params,status,t_stat,secs,n_trades,years,trades_per_year,win_rate,avg_ret_gross_bps,avg_ret_net_bps,avg_cost_bps,payoff_ratio,profit_factor,expectancy_bps,sharpe_ann,total_return,max_drawdown,avg_hold_bars,avg_hold_hours,tp_hits,sl_hits,time_exits,champion
D3_DOM,B07_slope_amplify,Naes-Skjeltorp 2006 JFM,{'k': 3},ok,1.792,2.1,307,0.71,433.6,0.5603,133.06,123.95,9.11,1.005,1.281,123.95,2.129,0.5531,-0.1245,513.6,128.4,92,69,146,False
D3_DOM,B13_qi_extreme,Gould-Bonart 2016,{'n': 96},ok,1.378,3.0,311,0.71,439.6,0.5498,103.62,94.56,9.06,0.993,1.212,94.56,1.638,0.3937,-0.1683,507.3,126.8,93,71,147,False
D3_DOM,B20_depth_asym_mom,Cont-Cucuringu-Zhang 2021,"{'k': 6, 'n': 96}",ok,1.288,2.9,309,0.71,436.7,0.5081,97.53,88.39,9.15,1.152,1.19,88.39,1.532,0.3583,-0.1278,505.4,126.3,91,76,142,False
D3_DOM,B05_micro_revert,Stoikov 2018; Lehalle-Mounjid 2017,{'k': 6},ok,1.204,3.2,307,0.71,434.1,0.5309,94.45,85.36,9.09,1.045,1.183,85.36,1.432,0.3372,-0.1989,508.8,127.2,92,76,139,False
D3_DOM,B09_imbvol_fade,Cont-Cucuringu-Zhang 2021 SSRN,{'k': 3},ok,0.952,2.2,313,0.71,442.0,0.5304,75.9,66.71,9.19,1.007,1.137,66.71,1.131,0.2504,-0.218,501.7,125.4,86,88,139,False
D3_DOM,B14_near_far,Kalay-Sade-Wohl 2004,{'k': 3},ok,0.488,1.7,266,0.7,379.4,0.5,45.51,36.32,9.18,1.077,1.077,36.32,0.583,0.0945,-0.1926,510.2,127.5,71,58,137,False
D3_DOM,B16_resiliency,Large 2007 JFM,{'k': 12},ok,0.437,2.0,302,0.71,427.0,0.5,38.59,29.55,9.03,1.064,1.064,29.55,0.52,0.0823,-0.2955,511.6,127.9,79,71,152,False
D3_DOM,B15_book_pressure,Cao-Hansch-Wang 2009 JFM,{'k': 3},ok,0.09,1.8,268,0.71,377.7,0.4813,16.14,6.89,9.25,1.092,1.013,6.89,0.107,-0.0095,-0.2278,508.2,127.0,74,67,127,False
D3_DOM,B01_qi_follow,Cartea-Jaimungal-Penalva 2015,{'k': 3},ok,-0.017,1.8,280,0.71,394.7,0.4857,8.01,-1.26,9.27,1.056,0.998,-1.26,-0.02,-0.0368,-0.3467,504.3,126.1,76,72,132,False
D3_DOM,B02_qi_fade,Gould-Bonart 2016 JFinEc,{'k': 1},ok,-0.156,2.4,286,0.71,403.3,0.493,-1.99,-11.08,9.09,1.005,0.978,-11.08,-0.185,-0.0694,-0.1436,523.3,130.8,62,74,150,False
D3_DOM,B03_qi_deep,Cont-Kukanov-Stoikov 2014 JFinEc,{'k': 3},ok,-0.168,1.4,239,0.71,337.2,0.5105,-4.08,-13.44,9.36,0.934,0.974,-13.44,-0.2,-0.0663,-0.2825,520.3,130.1,61,56,122,False
